time,open,high,low,close,volume
2018-01-24T20:00:00Z,11201,11261,11090,11159,2.7391133599998465
2018-01-24T21:00:00Z,11159,11294,11143.77066544,11219,-139.2708724
2018-01-24T22:00:00Z,11215,11244,11064,11095,-175.99519394
2018-01-24T23:00:00Z,11095,11427.87732756,11093,11391,238.74269901999943
2018-01-25T00:00:00Z,11390,11427.87732756,11256,11287,-27.184288690000002
2018-01-25T01:00:00Z,11275,11465,11257,11422,792.0140556200025
2018-01-25T02:00:00Z,11422,11647,11327,11533,666.3461565599977
2018-01-25T03:00:00Z,11528,11734,11450,11633,354.6458178099987
2018-01-25T04:00:00Z,11632,11637,11369,11461,-244.73924054000284
2018-01-25T05:00:00Z,11461,11577,11447,11557,169.6322310000006
2018-01-25T06:00:00Z,11556,11630.51217071,11440,11440,30.06467395999955
2018-01-25T07:00:00Z,11440,11581.94161558,11352,11403,-229.55005891999937
2018-01-25T08:00:00Z,11403,11439,11251,11268,-123.92559526000015
2018-01-25T09:00:00Z,11271,11338,11151.89088655,11319,25.063256100000686
2018-01-25T10:00:00Z,11319,11448,11272,11330,243.7824008899991
2018-01-25T11:00:00Z,11329,11381.76459561,11130,11171,-62.538401769999936
2018-01-25T12:00:00Z,11171,11229,11034,11082.12687484,-235.30241866000065
2018-01-25T13:00:00Z,11081,11280,11080,11227,20.594853219999973
2018-01-25T14:00:00Z,11227,11284,11150,11185,9.113950509999958
2018-01-25T15:00:00Z,11186,11191.55779747,10902,10978,-450.8936565300018
2018-01-25T16:00:00Z,10978,11136.91469303,10845,10887,-85.92425270000197
2018-01-25T17:00:00Z,10888,11038,10880,11023,729.0499905699978
2018-01-25T18:00:00Z,11029,11272,11026,11258,255.94162784000082
2018-01-25T19:00:00Z,11258,11283,11159,11229,-50.38129762999977
2018-01-25T20:00:00Z,11226,11385,11200,11265,383.2796495699984
2018-01-25T21:00:00Z,11263,11333,11144,11263,-30.027449189999903
2018-01-25T22:00:00Z,11260,11334,11150,11161,-179.49136060999993
2018-01-25T23:00:00Z,11159,11221,11068,11147,-63.39238680000012
2018-01-26T00:00:00Z,11147,11450,11126,11396,465.1694349399998
2018-01-26T01:00:00Z,11395,11403,11286.83229814,11314,-116.78871450999992
2018-01-26T02:00:00Z,11315,11700,11314,11611,1010.2485486399977
2018-01-26T03:00:00Z,11610,11611,11455,11529,-25.727197650000384
2018-01-26T04:00:00Z,11530,11564,11388,11465,104.70420456999992
2018-01-26T05:00:00Z,11465,11484,11353,11361,159.41654077999993
2018-01-26T06:00:00Z,11362,11444,11325,11377,29.683497820000174
2018-01-26T07:00:00Z,11377,11377,11009,11018,-755.8329309499993
